Job Advertisement,Experience_Level
"Notting Hill Genesis is hiring a Lead Performance & Insight Analyst to deliver KPI reporting, lead on regulatory returns (TSM, SDR), and drive performance analysis to enhance housing operations. This senior role blends data strategy, stakeholder engagement, and team mentoring to inform decisions at Executive and Board levels.",Lead
"WeMaintain is hiring a Lead Frontend Engineer to oversee the development of a new IoT and data visualization platform. This leadership role involves guiding a team of senior engineers, setting frontend architecture strategy, and driving best practices across multiple projects. Experience with modern frontend frameworks (React, Angular, etc.) and a passion for clean, scalable code are key.",Lead
"Neptune North, a joint venture between Oliver Wyman and Rokos Capital Management, is hiring a developer in Newcastle City Centre to take ownership of technical products and projects. The role requires excellent programming skills in React and TypeScript, with experience in WebSockets, SignalR, and container orchestration. Candidates should be passionate about delivering quality UX, solving business problems, and engaging with users and other dev teams. Financial services experience is optional. The position emphasizes innovation, problem-solving, and impact from day one.

The role requires a 2:1 degree in Computer Science or related field, preferably from a Russell Group university. The culture values collaboration, ownership, curiosity, and a willingness to go the extra mile.",Junior
"HM Courts and Tribunals Service (HMCTS) is a government organisation focused on delivering justice services efficiently and fairly. The department is undergoing a digital transformation to radically improve public services through smarter use of technology. HMCTS works closely with product managers, designers, delivery managers, user researchers, and digital architects to achieve this goal.

As a software developer, you will work on backend services written in Java and frontend services written in Node.js. You will also engage with other technologies including Kubernetes, Docker, Azure cloud services, Jenkins for CI/CD, and Terraform for infrastructure as code. Developers are expected to use test-driven development, write automation scripts, and follow internal standards for clean, maintainable code. You will be involved in building and testing system interfaces, supporting and maintaining software, and helping to manage service availability and cost efficiency. The role includes close collaboration with a wide range of teams to ensure product security, data confidentiality, and service integrity. There may be limited out-of-hours work required for supporting live services.

Candidates should have strong programming experience in Java or Node.js, a solid understanding of system integration and software design, and familiarity with tools such as Jenkins, Terraform, and Kubernetes. Knowledge of cloud infrastructure, especially Azure, and experience with PostgreSQL or Redis databases are also valuable. Applicants must be comfortable mentoring junior colleagues and sharing technical knowledge within the team.",Mid
"TPP is a world-leader in digital healthcare technology, creating software that transforms the way healthcare is delivered around the world. Their products range from apps that empower patients to manage their own care to comprehensive systems for hospitals. For over two decades, TPP has been committed to improving access to healthcare data, ensuring it is available whenever and wherever it’s needed to empower both clinicians and patients.

This role is ideal for bright and analytical graduates with a passion for problem solving, regardless of prior coding experience. New developers at TPP begin contributing to real-world projects from their first few weeks, working on software used by clinicians and patients across the globe. You will be part of a collaborative, agile team developing some of the world’s largest real-time databases and applications. Projects span areas such as artificial intelligence for early cancer diagnosis and mobile apps supporting chronic disease management. Developers are involved in the full software development lifecycle, including scoping, design, development, and deployment.

Candidates must have at least a 2:1 degree and AAA at A-level, including A in Maths, or equivalent international qualifications. Strong logical thinking and a desire to solve complex challenges are essential. No coding experience is required, and full training will be provided.",Graduate
"Imperial College London is a world-leading university with a top ten global ranking and a strong reputation in science, engineering, medicine, and business. With over 20,000 students and a turnover of around £1 billion, the College has a dynamic and ambitious financial operation.

As an Accounts Receivable Assistant, you will support the college’s income processes. Your responsibilities include setting up and maintaining accounts, conducting credit checks, processing invoices and credit memos, handling payments through systems such as Oracle, Pay360, Flywire, and Convera, and managing refunds and unapplied receipts. You will provide support to internal and external stakeholders, including students, responding to queries by phone, email, and in meetings.

The ideal candidate has prior experience in accounts receivable, bookkeeping, or accounting, ideally within a shared services environment. You should be familiar with financial accounting systems and have some understanding of credit risk analysis and the finance processes typical in higher education. Strong organisational skills, customer service ability, and a proactive, team-oriented attitude are essential for success in this role.",Junior
"Schneider Electric is a global leader in digital transformation, energy management, and automation. Operating in over 110 countries and recognized as one of Spain’s top companies to work for in 2024, Schneider Electric integrates software, data, and cutting-edge technology to improve energy efficiency and sustainability across industries, buildings, and urban infrastructure.

This role is part of Schneider Electric’s Talent Incubator Program, a one-year graduate experience designed to kickstart your professional career through hands-on work, training, mentoring, and a project sponsored by a senior executive. You will join the Operations team, which is responsible for managing the logistics operations of a distribution center, including receiving, storing, preparing, and shipping goods while upholding high safety, quality, and efficiency standards.

As a Data and Digital Tools Developer, you will be responsible for supporting the operations team by designing, implementing, and optimizing digital solutions that enhance decision-making through data analysis. You will develop tools for data processing and visualization, automate and optimize logistics processes, integrate data sources, and work closely with the operations and methods team to identify technological needs and ensure solution quality and scalability.

Candidates must be recent graduates in computer science, data science, software engineering, or a related field, and available to begin a one-year program in May 2025. Fluency in English and Spanish is required. You should have experience in software development and data analysis, programming knowledge (e.g., Python, R, SQL), familiarity with data visualization tools (e.g., Power BI, Tableau), cloud technologies (AWS, Azure, Google Cloud), and a strong understanding of data processing, automation, and ETL. Excellent analytical, problem-solving, and communication skills, as well as adaptability and a collaborative mindset, are essential.






",Graduate
"Uncoded is a technology consultancy specialising in the commercial real estate sector. The company partners with clients to deliver end-to-end solutions encompassing the visioning, design, development, and support of bespoke technology platforms. Based in London, Uncoded fosters a dynamic team culture and is driven by innovation, collaboration, and excellence.

The Junior Finance Assistant will report to the Head of Finance and support the finance function and wider business with a range of administrative and financial activities. Key responsibilities include managing the purchase-to-pay process, reconciling company expenses using Pleo, maintaining cost trackers and financial records, assisting with bank reconciliations and month/year-end processes, supporting payroll processing, and handling client and supplier queries. The role also involves preparing reports, helping implement operational policies, and ensuring regulatory compliance.

Candidates should hold A-levels or an equivalent qualification, ideally in Accounting, Business, or Finance. Prior finance experience is helpful but not required. Applicants must have strong Excel and general Microsoft Office skills, good analytical and communication abilities, and be highly organised and detail-oriented. The ideal candidate is proactive, trustworthy, eager to learn, and capable of multitasking in a fast-paced team environment.",Graduate
"One Big Circle is a technology company based in Bristol, specialising in Intelligent Video solutions that combine video, IoT, cloud, and AI to address real-world operational and safety challenges. Founded in 2017, the company is best known for AIVR (Automated Intelligent Video Review), a multi-award-winning video technology system widely adopted in the rail industry. As the business continues to expand into new markets, One Big Circle aims to deliver high-quality, fast-paced technical solutions through a dynamic and inclusive team environment.

This role offers the opportunity to begin a career in a growing tech company, working on a range of innovative projects for clients and in-house development. You will be part of a collaborative team where you’ll help create and test software and develop your skills under the guidance of experienced engineers. The role involves developing web and mobile applications using a variety of technologies including ReactJS, React Native, Node.js, PHP, Python, and AWS.

Applicants should be curious, eager to learn, and enjoy solving problems. While no professional experience is required, candidates should demonstrate their interest in software development through personal or passion projects such as building websites or apps, creating workflows, game mods, or hardware projects. Familiarity with at least one general-purpose programming language is expected. You should also be enthusiastic about contributing ideas to the company’s development and team culture.",Graduate
"A global corporate intelligence consultancy is seeking multilingual Associates to join its fast-growing team. The firm provides enhanced due diligence, investigative research, and business intelligence services across international markets. The Associate role is integral to managing junior analysts, overseeing client projects, and ensuring the highest standards in research and reporting.

As an Associate, you will lead junior team members, manage client deliverables, and contribute to shaping the company’s operational excellence and strategic goals. You will be involved in case management from proposal writing to final delivery, and be expected to support continuous process improvements.

Candidates must have a background in enhanced due diligence, business intelligence, investigative or market research, or a related field. Fluency in English is required, alongside advanced proficiency in at least one of the following languages: German, Italian, or Spanish.

Key responsibilities include overseeing research and analysis processes, writing and editing detailed reports using open-source and compliance databases, and handling client communication. The role also includes representing the company at industry events and building professional networks.

Successful candidates will demonstrate strong editorial skills, excellent communication, experience in client and project management, and a deep understanding of financial crime, sanctions, and regional risk analysis.",Mid
"Jelly is a venture-backed startup building a new system for the Back-of-House operations in the foodservice industry. While the Front-of-House has attracted billions in innovation—through POS, bookings, and delivery—the Back-of-House still relies heavily on pen, paper, and spreadsheets for essential processes like menu costing, inventory, and supply management. Jelly’s mission is to rebuild these core operations from the ground up, making them digital, connected, and intelligent. Since raising seed funding from top-tier investors, Jelly has become profitable and scaled rapidly, now serving over 500 food businesses including Michelin-starred restaurants and local cafés.

The role involves developing backend infrastructure to support complex, fragmented data challenges across the foodservice industry. You will work on foundational data systems that power key workflows across thousands of daily operations. You’ll be responsible for designing and building performant systems using GraphQL, relational databases, and serverless architectures. This includes deploying containerised applications, optimising queries, and integrating AI-driven tools where appropriate. You’ll work closely with the founding team and gain direct influence on product and technical decisions.

The requirements include strong proficiency in TypeScript and NodeJS, experience with containerised and serverless deployment, and expertise in GraphQL and relational database performance optimisation. You should also have an interest in AI technologies, with some experience using AI APIs. Additional experience with PostgreSQL stored procedures, typed languages like Go, NoSQL or big data platforms, and Nexus GraphQL is preferred.
",Senior
"Amazon is seeking graduate software engineers to join its global development teams in building innovative, scalable technology solutions. As a Software Development Engineer (SDE), you will contribute to the design and creation of large-scale, distributed systems that impact millions of customers and businesses worldwide. Amazon is customer-obsessed and operates at a fast pace with short ship cycles, giving engineers the opportunity to see their work rapidly deployed and scaled.

In this role, you will collaborate with cross-disciplinary teams to develop new features and services, working in an agile environment. You’ll build fault-tolerant systems and distributed storage and query tools that are low-cost, scalable, and easy to manage. Your work will include building systems that run predictions, using cutting-edge tools and architectures across a distributed environment.

Candidates should have a Bachelor’s or Master’s degree in Computer Science, Computer Engineering, or a related field, obtained within the last 24 months or expected at the time of application. You must be familiar with at least one programming language such as Java, C/C++, or Python, and have a solid understanding of computer science fundamentals including algorithms, object-oriented design, data structures, and complexity analysis.

Preferred experience includes prior internships in technical roles, familiarity with multi-tiered and distributed systems, knowledge of relational databases, and optimization techniques such as linear or nonlinear programming. Strong communication skills and the ability to work through ambiguity are essential.

If you're passionate about using technology to solve real-world problems and want to work at a company where innovation is central to everything, this is the opportunity to chart your path with Amazon.",Graduate
"CHANEL is seeking a Client Data & Insights Specialist on a 12-month fixed-term contract to join its London Head Office. This role is critical in transforming client data into actionable insights to support personalised engagement and retention strategies. Key responsibilities include delivering dashboards and strategic analysis, supporting CRM activities like Clienteling targets and campaign effectiveness, and ensuring strong data governance across platforms such as PowerBI, My360, and Y2.

Applicants must demonstrate strong analytical thinking, data visualisation skills (especially in PowerBI), excellent communication, and the ability to work collaboratively across departments. This role offers exposure to a global luxury business during a period of significant data transformation.",Mid
"Taco Bell is hiring a Supply Chain Data Analyst to support its UK & Europe Supply Chain Team. The analyst will work cross-functionally to automate demand forecasting, develop dashboards in Power BI, track supplier performance, and provide actionable insights to drive efficiency, cost management, and stock optimisation across European markets. This role involves statistical modelling, commercial reporting, and contributing to Graduateational supply chain operations.

Candidates should have 2–4 years of experience in supply chain analytics or procurement, advanced Excel and Power BI skills, and a proactive, analytical mindset. Experience in Graduateational food or restaurant businesses is a plus.",Mid
"Mango is hiring a Pricing Data Analyst to join their Pricing team based in Barcelona. The role involves analysing the commercial performance of the company, with a strong focus on promotional activities (mark downs). Responsibilities include reporting KPIs, conducting ad-hoc analysis on promotions, monitoring competitor strategies, and supporting pricing transformation projects through data analysis.

The ideal candidate has a background in Economics, Business, or Engineering, with advanced Excel skills and a high level of English. Experience with BI tools and a data-driven mindset are valued. The role requires strong communication skills and a collaborative attitude.",Junior
"A fashion business in London is hiring an Assistant Account Coordinator to support multiple retail brands. The role involves handling order data, reconciling purchase orders, managing sales orders via SAP, preparing reports, and coordinating logistics and customer communication. The position is full-time and office-based.

Candidates should have prior experience in retail account coordination or a similar role, excellent organizational and Excel skills, and be detail-oriented, proactive, and enthusiastic about retail operations.",Junior
"Matalan is hiring an Ecommerce Data Analyst to support its Analytics team by tracking metrics, analyzing web data, and delivering actionable insights. The role focuses on creating visualizations, automating reports, and working with stakeholders to solve business challenges through data. Experience with SQL, BigQuery, GA4, and Power BI is essential, along with a solid understanding of ETL processes and statistical methods.

Candidates should have 2+ years of experience in analytics, strong SQL/database knowledge, and familiarity with large datasets and data visualization tools.",Mid
"Avtrade, a global leader in aircraft component services, is hiring an MRO Executive Trading and PBH to join their growing MRO Department at their West Sussex headquarters. The role is full-time and office-based, Monday to Friday, offering a salary between £27,208 - £32,936 per year.

The position involves managing aircraft component repairs, sourcing services from global suppliers, ensuring timely deliveries, accurate documentation, and cost control. Candidates should have administrative office experience, excellent customer service skills, and the motivation to work in a fast-paced environment. No prior technical experience in aviation is required—desire to learn and grow is essential.

Benefits include 25 days holiday, company pension, healthcare, training, career progression, company events, and more",Junior
"Neilson, a global leader in life insurance solutions, is hiring a Direct Response Copywriter to join their Creative team. This full-time role is based in Windsor and focuses on crafting high-performing paid social media ad copy across platforms like Facebook, Instagram, and TikTok. The ideal candidate has 3+ years of experience in direct response copywriting with a strong understanding of lead generation techniques, emotional storytelling, and persuasive CTAs.

Responsibilities include writing ad copy, video scripts, and collaborating with designers and marketers to drive conversions. Prior experience in financial services is a plus but not essential. Creativity, attention to data-driven iteration, and understanding emotional triggers for insurance leads are key to success in this role.",Mid
"TRM-Graduateational is seeking a Trading Assistant to join their technology-driven team in London. This full-time position offers a dynamic, non-corporate environment where you’ll support traders operationally, monitor trading platforms, troubleshoot issues in the trade cycle, and collaborate with developers to enhance platform performance.

Candidates should hold a BSc (preferably in a STEM field), be proficient with the Microsoft stack, and have a willingness to learn SQL. This role offers significant exposure to cutting-edge technologies, along with benefits like gym membership, private healthcare, and flexible hours.",Graduate
"A data-driven role focusing on the processing and analysis of structured and semi-structured datasets. Responsibilities include documentation and presentation of results, report generation, and dashboard visualization. The position requires a Bachelor's degree in Data Science or a related field, proficiency in tools like Streamlit or Plotly, and strong analytical and communication skills. The job is likely contract-based with the option for extension and includes ongoing support from the consultancy (Hays).",Junior
"A City Council in Central Victoria is hiring an Asset Systems & Data Officer on a temporary contract with potential extension. The role involves analyzing and managing asset data using AMIS and GIS, conducting risk assessments, improving data processes, and collaborating on infrastructure asset handovers. Candidates should hold a tertiary qualification in Asset Management and be proficient in SQL, GIS, and asset management software. Financial knowledge of depreciation and asset valuation is a plus.",Mid
"Hays is hiring Graduate Recruitment Consultants with a starting salary of £27,755 plus uncapped commission. No recruitment experience is needed—just passion, ambition, and strong interpersonal skills. Consultants will manage the full recruitment cycle from client relationships and business development to interviewing candidates and filling vacancies. Training, flexible working, and rapid career progression are provided, alongside benefits like well-being support, bonuses, and global recognition.",Graduate
"A leading software company in Guildford is hiring a Geoscience Software Engineer with expertise in C++ and Qt. The role involves building real-time geological modeling systems using advanced algorithms and mathematical models. Ideal candidates will have a Master’s or PhD in Geology, Physics, Mathematics, or Computing, plus 5+ years of experience in C++, 3D graphics, and GIS. The position is full-time, on-site, and offers £65,000–£120,000 plus 25% bonus, 10% pension, and private healthcare.",Senior
"A global Shared Service Center in Gda?sk is hiring an AP Accountant to support accounts payable functions. Ideal candidates are finance graduates eager to build a career in corporate finance. Key responsibilities include processing invoices and vendor payments, maintaining vendor relations, handling master data, and assisting with transitions.

Fluent English and basic Excel skills are required; prior AP experience is a plus. The role offers hybrid work, private medical care, and other employee benefits.",Graduate
"A Birmingham-based organization is seeking an experienced HR Business Partner to support strategic workforce initiatives. The role involves acting as a trusted advisor to senior stakeholders, leading change and restructuring efforts, managing complex ER cases, and leveraging HR analytics to inform decision-making.

The position requires strong experience in HR business partnering, employee relations, and stakeholder influence. It is mostly on-site, with hybrid working (1 day WFH).",Senior
"A key client in Doncaster is seeking a Finance Director to oversee multiple business units with a combined turnover of £55 million. This senior leadership role involves developing and implementing financial strategies, ensuring timely delivery of management accounts, managing financial risks, and collaborating with senior management to drive business performance.

The ideal candidate is a qualified finance professional (e.g., ACA, ACCA, CIMA) with proven line management experience and strong strategic and leadership skills.",Lead
"A leading technology solutions provider in Belfast is hiring a Senior Data Solution Architect to support the rapid growth of its Data & AI division. The role focuses on providing strategic consultancy, leading data solution development, and optimizing performance for high-impact projects across private and public sectors.

The ideal candidate brings over 7 years of data experience, particularly with Azure technologies, and has a strong track record of technical leadership and stakeholder engagement.",Lead
"A Senior Finance Analyst is sought in Stoke-on-Trent for a hybrid working role paying £52,000 plus bonus. The position involves developing and maintaining financial models and forecasting tools, supporting decision-making across departments. Responsibilities include budget planning, cross-functional collaboration, report generation, and process improvement. The ideal candidate is ACCA/CIMA qualified, has experience in advanced Excel modelling, Power BI, financial systems like Workday, and strong analytical and communication skills.",Senior
"A Finance Business Partner is required for a global business headquartered near Solihull. This newly created role will partner with commercial teams to deliver financial reporting, actionable insight, and analysis. The focus will be on improving data quality, standardising processes, and understanding performance drivers. Candidates should have strong FP&A skills, business partnering experience, and proficiency in BI tools such as Tableau. Experience in pricing or product costing within a global manufacturing environment is a plus. Hybrid work is available with up to 2 days in the office.",Senior
"The Payroll & People Team Administrator will be responsible for processing payroll and supporting HR functions across the employee lifecycle. Duties include payroll processing, tax and pension calculations, maintaining employee records, handling payroll queries, administering benefits, and assisting with onboarding and performance management processes. The role requires strong administrative skills, attention to detail, proficiency in Microsoft Office and payroll software, and the ability to maintain confidentiality. The position is hybrid (3 days in office near Salisbury, 2 days from home) and offers a salary up to £30,000 DOE.",Junior
"A national business in Burnley is hiring an Assistant Accountant to manage cashbooks, reconcile bank accounts, handle debtors and creditors, maintain the fixed asset register, and process prepayments, accruals, VAT, and reconciliations. The role is full-time, Monday to Friday, 08:00–17:00. Candidates should have prior experience in a similar role, strong organisational skills, confidence with financial systems, and proficiency in Excel (including VLOOKUPs and pivot tables). Experience with SAP or similar ERP systems is desirable. The salary is between £30,000–£35,000, with benefits including 25 days holiday, hybrid working, healthcare, and on-site parking.",Junior
"An award-winning main contractor in Glasgow is seeking a Design Manager to support the delivery of large, complex building projects across education, leisure, healthcare, and commercial sectors. The role involves managing the design process from conception to handover, collaborating with construction directors and project managers. Ideal candidates may come from senior architectural technologist or construction engineering backgrounds and possess strong communication skills, attention to detail, and knowledge of construction processes. The company offers career development opportunities and a strong project pipeline.",Mid
"A manufacturing company in Dungannon is hiring a Health and Safety Manager to promote a robust safety and environmental culture across their Northern Ireland sites. The role includes conducting training, audits, incident investigations, and implementing safety and sustainability strategies. Candidates should ideally hold a degree in environmental management and NEBOSH certification, with proven experience in health and safety within a manufacturing setting. Strong knowledge of environmental regulations, carbon reporting, and stakeholder communication is essential. The role offers flexibility in hours, career growth opportunities, and a comprehensive benefits package.",Senior
"A boutique Lloyd’s Broker in the City is hiring a Binding Authority Graduateational Casualty Technical Account Manager to join their expanding Graduateational Casualty team. The role involves MRC slip and binding authority production, managing delegated authorities, overseeing operational processes, liaising with Underwriters and Coverholders, and utilizing systems like Atlas and DCOM. The ideal candidate has experience handling Graduateational, Canadian, or North American Casualty business within the London Market, specifically with binders and technical document production. Strong organizational skills and technical expertise are required.",Senior
"A locally established organisation in Aberdeen is seeking an Accounts Administrator for a fixed-term contract of approximately 12 months. The role involves raising purchase orders, processing invoices, managing financial data in the accounting system, handling stakeholder queries, and providing administrative support including call handling and mailbox management. Candidates should have solid experience in finance administration, be confident multitaskers, and ideally available to start immediately.",Junior
"A leading Graduateational media business is hiring a Commercial Finance Analyst for a permanent hybrid role based in WF1. The role involves providing financial analysis to support business decision-making, managing forecasting processes, and working closely with operational managers. Candidates should be qualified or near-qualified in CIMA/ACCA/ACA and have experience in commercial finance or management accounting. Strong Excel skills, stakeholder engagement, and attention to detail are essential.",Mid
"A well-known automotive manufacturing company based in Southend is hiring a Mechanical Design Engineer with experience in motorsport, F1, or similar high-performance engineering sectors. The role includes designing critical components using CATIA V5, managing build manuals, coordinating with suppliers, and supporting the manufacturing process. Candidates must have a degree in mechanical or engineering disciplines and be proficient in software such as CATIA V5, Excel, and MATLAB. UK working rights are required as sponsorship is not available.",Mid
"A renowned logistics company is hiring a Customer Services Coordinator to manage the end-to-end freight process and provide excellent customer service. Key responsibilities include handling quotations, coordinating consignments, tracking shipments, resolving invoice queries, ensuring customs compliance, and identifying business opportunities. The ideal candidate will have at least 12 months of experience in road freight and customer-facing environments, along with proficiency in Microsoft 365 and strong attention to detail.",Junior
"The City of London Corporation is hiring a Head of Environmental Estates (Built Assets) for a 12-month fixed-term contract. The role involves developing and leading a strategic asset plan for over 300 diverse built assets managed by the Environment Department. The successful candidate will align departmental strategy with the City’s corporate goals, lead cross-department collaboration, identify cost-saving and income-generating opportunities, and ensure best practices in asset usage and compliance.",Lead
"An Graduateational reinsurance and insurance firm with over 14,000 employees is hiring an Employee Relations Specialist based in London (1 day per week in-office). The role involves managing ER cases for corporate functions, sales, and actuarial teams. Responsibilities include guiding line managers on performance and absence management, conducting investigations and dismissals, handling flexible working requests, engaging in small-scale redundancies, and collaborating with legal teams. The position plays a strategic role in enhancing performance management and retention.",Mid
"A FTSE 250 financial services company is hiring a Solutions Architect to join a multidisciplinary team. The role focuses on delivering complex technical designs that support business change, optimizing processes, and implementing integrated solutions. Candidates should have experience in financial services and high-level knowledge of system integrations (APIs), cloud platforms (AWS/Azure), and databases (SQL/Oracle). Familiarity with SWIFT, CREST, and SunSystems is advantageous. TOGAF certification or equivalent experience is preferred, along with excellent stakeholder management skills.",Lead
"A global organization is seeking an SAP Product Manager to lead the strategic direction and development of their SAP SuccessFactors platform, which supports over 4,000 employees in 198 countries. The role involves defining product strategy, managing cross-functional stakeholders, conducting user acceptance testing, and delivering innovation across the platform. The successful candidate will work closely with senior leadership and report to the Head of EMEA Applications Centre of Excellence. This position requires at least 3 years of product management experience with SAP solutions, strong stakeholder management, and familiarity with agile methodologies.",Lead
"A globally recognized business management PLC based in Knutsford is seeking a Senior Financial Accountant to enhance their financial control framework and support strategic business decisions. The role involves improving process efficiency, ensuring compliance with regulatory and company standards, and delivering accurate financial reporting. The ideal candidate will be ACA or ACCA qualified, experienced in UK PLC reporting, and skilled in driving improvements through technical accounting and analysis. Strong interpersonal skills and a hands-on, flexible approach are essential.",Senior
"A progressive accountancy and business advisory firm with five offices across the South of England is hiring a Digital Marketing Executive in Southampton. The role focuses on developing strategic marketing plans, running multichannel campaigns, and enhancing client engagement and retention. The ideal candidate will have 2+ years of marketing experience, strong digital skills, a proactive mindset, and preferably a background in professional services. Knowledge of CRM systems, digital tools, and stakeholder engagement is essential.",Mid
"A leading, high-growth commercial property business with global operations in the UK, Europe, and the US is hiring a Corporate Finance Manager. The role involves working closely with the Global Head of Strategy and COO to lead valuations, shape portfolio management strategies, and identify investment opportunities. Key responsibilities include strategic decision-making, deal support, scenario modelling, and presenting to the board. Candidates should have a corporate finance or investment background, with strong experience in valuation and project development.",Senior
"A company supplying high-quality engineering components is hiring an Engineering Sales Representative to cover the Ulster region. The role involves identifying and visiting manufacturing clients to assess needs, cross-sell products, and manage accounts. The company emphasizes relationship-building and honest customer service. A full driving license is required, and candidates with a background in engineering or technical sales are preferred. Full product training will be provided.",Mid
"A UK-based company is hiring a Senior Data Engineer to support their implementation of Microsoft Fabric. This remote role involves designing and maintaining scalable data pipelines, implementing data models for BI, and managing workflows using Azure Data Factory. Candidates must be proficient in SQL, Python, PySpark, and familiar with Microsoft Fabric and Power BI or Tableau. Strong stakeholder management is also required.",Senior
"A financial services firm in Solihull is hiring a Principal Auditor – IT & Cyber to perform in-depth IT and Cyber Security audits. The role involves assessing risk management, governance frameworks, and contributing to the development of data analytics tools. Candidates must have professional qualifications and proven experience in IT/Cyber audit, preferably in the banking or finance sector. Strong analytical, communication, and people management skills are essential.",Senior
"An exciting opportunity has arisen for a dynamic and experienced Head of Finance to join a leading organisation based in Milton Keynes. This newly created role offers the chance to shape the future direction of the finance team and the broader organisation. With a competitive salary of £90,000, this position will allow you to take ownership of all aspects of enhancing and ensuring compliance with a robust financial control environment, including SOX compliance.",Lead
"Our client is in search of a Commercial Financial Controller to join their dynamic and forward-thinking team in Derbyshire. This role offers an exciting opportunity to leverage your financial expertise within a vibrant commercial environment. As a key member of the finance team, you will provide strategic financial guidance and support to drive business performance and growth. The ideal candidate will have a strong background in commercial finance, excellent analytical skills, and the ability to thrive in a fast-paced, dynamic environment. Salary: £65,000-£70,000 per annum.",Senior
"HR Manager responsible for leading the HR function in a large retail/manufacturing company, developing and implementing people strategies, managing employee relations, and driving employee engagement and performance.",Senior
"Senior Business Analyst role in a global insurance firm. Responsibilities include advising on project management, implementing business solutions, and leveraging experience in commercial insurance and underwriting.",Senior
"Accounts Assistant at a luxury company supporting financial operations, including purchase/sales ledger management, invoice processing, reconciliations, expense claims, and VAT return preparation. Requires strong Excel skills; SAP experience is a plus. Ideal for someone detail-oriented and self-motivated.",Junior
"ServiceNow Service Manager at a global FX organization. Responsible for strategic oversight and implementation of ServiceNow platform solutions including CMDB and CSDM. Involves vendor management, roadmap alignment, platform upgrades, and team support. Requires 5–7 years of hands-on ServiceNow experience and deep technical knowledge of ITSM modules.",Lead
"CTO for early-stage DeFi startup to build MVP and scale product. Responsible for leading tech strategy, product development, architecture, cybersecurity, and building the tech team. Requires deep Fintech/DeFi experience and proven startup leadership from inception to exit.",Lead
"Head of Supply Chain responsible for strategy development, material flow, inventory reduction, S&OP implementation, logistics, and OTIF performance. Requires experience in manufacturing environments and strong leadership skills.",Lead
"Vice President, Credit Manager supporting CIB Credit Group in reviewing applications, managing portfolio risk, and advising on leveraged finance within a global financial group.",Lead
" Junior Credit Controller responsible for maintaining the accuracy of sales ledger accounts, minimising outstanding debts, processing commission payments to brokers, and supporting Credit Control operations. This hybrid role (3 days in office) is based in London and offers a competitive salary of £27,000.",Junior
"Junior Data Consultant responsible for implementing client data projects and delivering training on Power BI and other BI tools like Alteryx and Tableau. Duties include building data warehouse solutions, extracting and transforming data, and creating visualisations to support data-driven decision-making. This is a fully remote role with occasional travel to client sites and workshops in Jersey, offering a salary of £30,000–£37,500 depending on experience.",Junior
"Customer Service Advisor responsible for greeting and assisting customers at the counter, resolving queries, and supporting day-to-day branch operations using in-branch technologies. The role offers full training and opportunities for career progression and industry qualifications within an inclusive, people-first organisation. No prior banking experience is required.",Graduate
"Treasury Assistant responsible for supporting the Finance team with bank reconciliations, payment analysis, customer receipt allocations, journal entries, and transaction investigations. The role provides an opportunity to gain experience in treasury and Graduateational finance within a financial technology company. Salary: £35,000–£40,000, depending on experience.",Junior
"Data Scientist responsible for analysing complex financial and trading datasets, identifying patterns, supporting predictive modelling, developing data-driven tools, and collaborating with cross-functional teams to support strategic decisions. The role also includes creating interactive dashboards and communicating insights effectively across the business.",Graduate
"Lead Data Scientist at Jet2.com and Jet2holidays responsible for leading data science initiatives across marketing, pricing, customer experience, and operations. Role includes coaching a pod of data scientists, applying ML/statistical models, delivering actionable insights, and ensuring compliance with Graduateal and regulatory policies. Requires strong experience in Python, SQL (Snowflake preferred), data visualization (e.g. Tableau), and stakeholder communication. Familiarity with cloud platforms is desirable. Hybrid role with 2 office days per week.",Lead
"Principal Data Scientist at Hiscox, responsible for leading data science projects within a newly formed innovation lab. The role involves end-to-end development of predictive and prescriptive models, mentoring junior data scientists, and engaging stakeholders across business units. Requires strong experience in data science, machine learning (including generative AI), and tools like Python, R, SQL. Focus on rapid prototyping and delivering commercial impact. Background in insurance, finance, or ecommerce is a plus. Based in London.",Lead
"Associate Data Scientist at ADP, part of the Global Product and Technology (GPT) Development Programme. This entry-level role is aimed at recent graduates or professionals with up to two years of experience in Computer Science or related fields. Responsibilities include collaborating with development teams to build next-generation ADP technologies, working with Python or R, SQL, and applying machine learning concepts. The role provides training in cloud tools (AWS, SageMaker, etc.) and offers real-world experience in data science applications. Based on a permanent contract with initial training and mentorship.",Graduate
"Technology Graduate Talent Program at UBS, starting September 2025 in Zürich, Switzerland. The role is aimed at recent graduates (within 18 months of graduation) with bachelor's or master’s degrees in MINT (Mathematics, Informatics, Natural sciences, and Technology). Participants will work on web applications in the Financial Crime Prevention domain using technologies such as Java, Spring, Oracle, and GitLab CI/CD. The program includes cloud computing exposure, collaboration with cross-functional teams, and learning agile software engineering practices. Strong programming skills, interest in DevOps and cloud, and a curiosity for financial services are essential.",Graduate
"Software Developer Graduate at Symphony. The role offers hands-on experience in real-world software development projects within a fast-paced, finance-focused tech company. Graduates will contribute to the design, development, testing, and maintenance of applications, working alongside senior developers. Requirements include current enrollment in a Computer Science or related degree, strong programming fundamentals, and proficiency in languages such as Python, Java, or C++. Familiarity with cloud platforms (AWS, GCP) and version control is a plus.",Graduate
